id,problem,category,outcome,concept,batch
001,Top K Frequent Elements,Arrays,WORKS,Grouping;Aggregation;Ordering;Selection,1
002,Group Anagrams,Strings,WORKS,Grouping,1
003,First Unique Character,Strings,GAP,Filtering,1
004,Contains Duplicate,Arrays,WORKS,Grouping;Aggregation;Ordering;Selection,1
005,Merge Intervals,Intervals,GAP,Ordering;Stateful Scan,1
006,Maximum Subarray (Kadane's),DP,GAP,Stateful Scan,1
007,Climbing Stairs,DP,GAP,Stateful Scan,1
008,Coin Change,DP,GAP,Stateful Scan,1
009,Longest Common Subsequence,DP,GAP,Stateful Scan;Relation,1
010,Reverse Linked List,Linked Lists,GAP,Stateful Scan,1
011,Binary Search,Arrays,GAP,Ordered Lookup,1
012,Two Sum,Arrays,GAP,Relation,1
013,Sliding Window Maximum,Arrays,GAP,Window,1
014,Longest Substring Without Repeating Characters,Strings,GAP,Window,1
015,Number of Islands,Graphs,GAP,Traversal,1
016,Course Schedule,Graphs,GAP,Traversal,1
017,Container With Most Water,Arrays,GAP,Window,1
018,Valid Parentheses,Stacks,GAP,Stateful Scan,1
019,Maximum Depth of Binary Tree,Trees,GAP,Traversal;Aggregation,2
020,Validate Binary Search Tree,Trees,GAP,Traversal,2
021,Lowest Common Ancestor (BST),Trees,GAP,Traversal;Ordered Lookup,2
022,Binary Tree Level Order Traversal,Trees,GAP,Traversal;Grouping,2
023,Diameter of Binary Tree,Trees,GAP,Traversal;Aggregation,2
024,Serialize and Deserialize Binary Tree,Trees,GAP,Serialization,2
025,Clone Graph,Graphs,GAP,Traversal;Relation,2
026,Pacific Atlantic Water Flow,Graphs,GAP,Traversal,2
027,Word Ladder,Graphs,GAP,Traversal;Relation,2
028,Number of Connected Components (Union-Find),Graphs,GAP,Set Merging,2
029,Alien Dictionary,Graphs,GAP,Traversal;Relation;Ordering,2
030,House Robber,DP,GAP,Stateful Scan,2
031,Longest Increasing Subsequence,DP,GAP,Stateful Scan,2
032,Word Break,DP,GAP,Stateful Scan;Relation,2
033,Unique Paths,DP,GAP,Stateful Scan,2
034,Edit Distance,DP,GAP,Stateful Scan;Relation,2
035,Subsets,Backtracking,GAP,Enumeration,2
036,Permutations,Backtracking,GAP,Enumeration,2
037,N-Queens,Backtracking,GAP,Enumeration,2
038,Merge K Sorted Lists,Heaps,GAP,Ordering;Selection,2
039,Find Median from Data Stream,Heaps,GAP,Streaming,2
040,Single Number,Bit Manipulation,SUGAR,Aggregation,2
041,Number of 1 Bits,Bit Manipulation,SUGAR,Aggregation,2
042,Implement Trie,Tries,GAP,ADT Definition,2
043,Merge Two Sorted Lists,Linked Lists,GAP,Stateful Scan,2
044,Add Two Numbers,Linked Lists,GAP,Stateful Scan,2
045,Min Stack,Stacks,GAP,ADT Definition,2
046,Evaluate Reverse Polish Notation,Stacks,GAP,Stateful Scan,2
047,Daily Temperatures,Stacks,GAP,Stateful Scan,2
048,Jump Game,Greedy,GAP,Stateful Scan,2
049,Gas Station,Greedy,GAP,Stateful Scan,2
050,3Sum,Arrays,GAP,Ordering;Relation,2
051,Trapping Rain Water,Arrays,GAP,Window,2
052,Invert Binary Tree,Trees,GAP,Traversal,3
053,Same Tree,Trees,GAP,Traversal,3
054,Symmetric Tree,Trees,GAP,Traversal,3
055,Path Sum,Trees,GAP,Traversal;Aggregation,3
056,Construct Binary Tree from Preorder and Inorder,Trees,GAP,Construction;Relation,3
057,Kth Smallest Element in a BST,Trees,GAP,Traversal;Ordered Lookup;Selection,3
058,Graph Valid Tree,Graphs,GAP,Traversal;Set Merging,3
059,Rotting Oranges,Graphs,GAP,Traversal,3
060,Surrounded Regions,Graphs,GAP,Traversal,3
061,Redundant Connection,Graphs,GAP,Set Merging,3
062,Network Delay Time,Graphs,GAP,Traversal,3
063,Maximum Product Subarray,DP,GAP,Stateful Scan,3
064,Longest Palindromic Substring,Strings,GAP,Stateful Scan;Window,3
065,Decode Ways,DP,GAP,Stateful Scan,3
066,Combination Sum,Backtracking,GAP,Enumeration,3
067,Partition Equal Subset Sum,DP,GAP,Stateful Scan,3
068,Maximum Product of Three Numbers,Arrays,GAP,Ordering;Selection,3
069,Combination Sum II,Backtracking,GAP,Enumeration,3
070,Word Search,Backtracking,GAP,Enumeration;Traversal,3
071,Palindrome Partitioning,Backtracking,GAP,Enumeration,3
072,Linked List Cycle II,Linked Lists,GAP,Stateful Scan,3
073,Reorder List,Linked Lists,GAP,Stateful Scan,3
074,Copy List with Random Pointer,Linked Lists,GAP,Relation;Stateful Scan,3
075,Largest Rectangle in Histogram,Stacks,GAP,Stateful Scan,3
076,Basic Calculator,Stacks,GAP,Stateful Scan,3
077,Kth Largest Element in an Array,Heaps,GAP,Ordering;Selection,3
078,Task Scheduler,Heaps,GAP,Grouping;Aggregation;Ordering;Selection,3
079,Non-overlapping Intervals,Intervals,GAP,Ordering;Stateful Scan,3
080,Insert Interval,Intervals,GAP,Ordering;Stateful Scan,3
081,Valid Palindrome,Arrays,GAP,Window,3
082,Longest Repeating Character Replacement,Strings,GAP,Window,3
083,Minimum Window Substring,Strings,GAP,Window;Aggregation,3
084,Product of Array Except Self,Arrays,GAP,Stateful Scan,3
085,Missing Number,Arrays,SUGAR,Aggregation,3
086,Rotate Array,Arrays,GAP,Window,3
087,Valid Anagram,Strings,WORKS,Grouping;Aggregation,3
088,Encode and Decode Strings,Strings,GAP,Serialization,3
089,Longest Palindrome (buildable),Strings,GAP,Grouping;Aggregation,3
090,Add and Search Word,Tries,GAP,ADT Definition,3
091,Word Search II,Tries,GAP,ADT Definition;Enumeration;Traversal,3
092,Meeting Rooms,Intervals,GAP,Ordering;Stateful Scan,3
093,Counting Bits,Bit Manipulation,GAP,Stateful Scan,3
094,Sum of Two Integers (bitwise),Bit Manipulation,GAP,Stateful Scan,3
095,Set Matrix Zeroes,Matrix,GAP,Filtering,3
096,Spiral Matrix,Matrix,GAP,Traversal,3
097,Rotate Image,Matrix,GAP,Window,3
098,LRU Cache,Design,GAP,ADT Definition,3
099,Min Cost Climbing Stairs,DP,GAP,Stateful Scan,3
100,Number of Provinces,Graphs,GAP,Traversal,3
